Scorecard,Team 1,Team 2,Ground,Winner,Host,Day,Month,Year,WinInn
ODI # 54,Pakistan,India,Quetta,India,Pakistan,1,Oct,1978,1
ODI # 55,Pakistan,India,Sialkot,Pakistan,Pakistan,13,Oct,1978,2
ODI # 58,Australia,England,Melbourne,England,Australia,24,Jan,1979,2
ODI # 59,Australia,England,Melbourne,Australia,Australia,4,Feb,1979,2
ODI # 60,Australia,England,Melbourne,Australia,Australia,7,Feb,1979,2
ODI # 61,India,West Indies,Birmingham,West Indies,England,9,Jun,1979,2
ODI # 62,New Zealand,Sri Lanka,Nottingham,New Zealand,England,9,Jun,1979,2
ODI # 63,England,Australia,Lord's,England,England,9,Jun,1979,2
ODI # 64,Canada,Pakistan,Leeds,Pakistan,England,9,Jun,1979,2
ODI # 65,India,New Zealand,Leeds,New Zealand,England,13,Jun,1979,2
ODI # 66,Australia,Pakistan,Nottingham,Pakistan,England,13-14,Jun,1979,1
ODI # 67,England,Canada,Manchester,England,England,13-14,Jun,1979,2
ODI # 68,India,Sri Lanka,Manchester,Sri Lanka,England,16-18,Jun,1979,1
ODI # 69,New Zealand,West Indies,Nottingham,West Indies,England,16,Jun,1979,1
ODI # 70,Australia,Canada,Birmingham,Australia,England,16,Jun,1979,2
ODI # 71,England,Pakistan,Leeds,England,England,16,Jun,1979,1
ODI # 72,England,New Zealand,Manchester,England,England,20,Jun,1979,1
ODI # 73,Pakistan,West Indies,The Oval,West Indies,England,20,Jun,1979,1
ODI # 74,England,West Indies,Lord's,West Indies,England,23,Jun,1979,1
ODI # 75,Australia,West Indies,Sydney,Australia,Australia,27,Nov,1979,2
ODI # 76,England,West Indies,Sydney,England,Australia,28,Nov,1979,1
ODI # 77,Australia,England,Melbourne,England,Australia,8,Dec,1979,2
ODI # 78,Australia,West Indies,Melbourne,West Indies,Australia,9,Dec,1979,1
ODI # 79,Australia,England,Sydney,England,Australia,11,Dec,1979,1
ODI # 80,Australia,West Indies,Sydney,Australia,Australia,21,Dec,1979,1
ODI # 81,England,West Indies,Brisbane,West Indies,Australia,23,Dec,1979,2
ODI # 82,Australia,England,Sydney,England,Australia,26,Dec,1979,2
ODI # 83,Australia,England,Sydney,England,Australia,14,Jan,1980,2
ODI # 84,England,West Indies,Adelaide,West Indies,Australia,16,Jan,1980,1
ODI # 85,Australia,West Indies,Sydney,Australia,Australia,18,Jan,1980,1
ODI # 86,England,West Indies,Melbourne,West Indies,Australia,20,Jan,1980,1
ODI # 87,England,West Indies,Sydney,West Indies,Australia,22,Jan,1980,2
ODI # 88,New Zealand,West Indies,Christchurch,New Zealand,New Zealand,6,Feb,1980,2
ODI # 89,England,West Indies,Leeds,West Indies,England,28-29,May,1980,1
ODI # 90,England,West Indies,Lord's,England,England,30,May,1980,2
ODI # 91,England,Australia,The Oval,England,England,20,Aug,1980,1
ODI # 92,England,Australia,Birmingham,England,England,22,Aug,1980,1
ODI # 93,Pakistan,West Indies,Karachi,West Indies,Pakistan,21,Nov,1980,2
ODI # 94,Australia,New Zealand,Adelaide,New Zealand,Australia,23,Nov,1980,2
ODI # 95,Australia,New Zealand,Sydney,Australia,Australia,25,Nov,1980,1
ODI # 96,Pakistan,West Indies,Sialkot,West Indies,Pakistan,5,Dec,1980,2
ODI # 97,Australia,India,Melbourne,India,Australia,6,Dec,1980,1
ODI # 98,Australia,New Zealand,Melbourne,Australia,Australia,7,Dec,1980,2
ODI # 99,India,New Zealand,Perth,India,Australia,9,Dec,1980,1
ODI # 100,Australia,India,Sydney,Australia,Australia,18,Dec,1980,2
ODI # 101,Pakistan,West Indies,Lahore,West Indies,Pakistan,19,Dec,1980,1
ODI # 102,India,New Zealand,Brisbane,New Zealand,Australia,21,Dec,1980,2
ODI # 103,India,New Zealand,Adelaide,India,Australia,23,Dec,1980,1
ODI # 104,Australia,India,Sydney,Australia,Australia,8,Jan,1981,2
ODI # 105,India,New Zealand,Melbourne,New Zealand,Australia,10,Jan,1981,2
ODI # 106,Australia,India,Melbourne,Australia,Australia,11,Jan,1981,2
ODI # 107,Australia,New Zealand,Sydney,New Zealand,Australia,13,Jan,1981,1
ODI # 108,Australia,India,Sydney,Australia,Australia,15,Jan,1981,1
ODI # 109,India,New Zealand,Brisbane,New Zealand,Australia,18,Jan,1981,1
ODI # 111,Australia,New Zealand,Sydney,New Zealand,Australia,29,Jan,1981,1
ODI # 112,Australia,New Zealand,Melbourne,Australia,Australia,31,Jan,1981,2
ODI # 113,Australia,New Zealand,Melbourne,Australia,Australia,1,Feb,1981,1
ODI # 114,Australia,New Zealand,Sydney,Australia,Australia,3,Feb,1981,2
ODI # 115,West Indies,England,Kingstown,West Indies,West Indies,4,Feb,1981,1
ODI # 116,New Zealand,India,Auckland,New Zealand,New Zealand,14,Feb,1981,1
ODI # 117,New Zealand,India,Hamilton,New Zealand,New Zealand,15,Feb,1981,1
ODI # 118,West Indies,England,Albion,West Indies,West Indies,26,Feb,1981,2
ODI # 119,England,Australia,Lord's,England,England,4,Jun,1981,2
ODI # 120,England,Australia,Birmingham,Australia,England,6,Jun,1981,1
ODI # 121,England,Australia,Leeds,Australia,England,8,Jun,1981,1
ODI # 122,Pakistan,West Indies,Melbourne,West Indies,Australia,21,Nov,1981,1
ODI # 123,Australia,Pakistan,Melbourne,Pakistan,Australia,22,Nov,1981,2
ODI # 124,Australia,West Indies,Sydney,Australia,Australia,24,Nov,1981,2
ODI # 125,India,England,Ahmedabad,England,India,25,Nov,1981,2
ODI # 126,Pakistan,West Indies,Adelaide,Pakistan,Australia,5,Dec,1981,1
ODI # 127,Australia,Pakistan,Adelaide,Australia,Australia,6,Dec,1981,1
ODI # 128,Australia,Pakistan,Sydney,Pakistan,Australia,17,Dec,1981,2
ODI # 129,Pakistan,West Indies,Perth,West Indies,Australia,19,Dec,1981,2
ODI # 130,Australia,West Indies,Perth,West Indies,Australia,20,Dec,1981,2
ODI # 131,India,England,Jalandhar,India,India,20,Dec,1981,2
ODI # 132,Australia,Pakistan,Melbourne,Pakistan,Australia,9,Jan,1982,1
ODI # 133,Australia,West Indies,Melbourne,West Indies,Australia,10,Jan,1982,2
ODI # 134,Pakistan,West Indies,Sydney,West Indies,Australia,12,Jan,1982,2
ODI # 135,Australia,Pakistan,Sydney,Australia,Australia,14,Jan,1982,1
ODI # 136,Pakistan,West Indies,Brisbane,West Indies,Australia,16,Jan,1982,2
ODI # 137,Australia,West Indies,Brisbane,West Indies,Australia,17,Jan,1982,2
ODI # 138,Australia,West Indies,Sydney,Australia,Australia,19,Jan,1982,1
ODI # 139,Australia,West Indies,Melbourne,West Indies,Australia,23,Jan,1982,1
ODI # 140,Australia,West Indies,Melbourne,West Indies,Australia,24,Jan,1982,1
ODI # 141,Australia,West Indies,Sydney,Australia,Australia,26,Jan,1982,1
ODI # 142,Australia,West Indies,Sydney,West Indies,Australia,27,Jan,1982,1
ODI # 143,India,England,Cuttack,India,India,27,Jan,1982,2
ODI # 144,New Zealand,Australia,Auckland,New Zealand,New Zealand,13,Feb,1982,1
ODI # 145,Sri Lanka,England,Colombo,England,Sri Lanka,13,Feb,1982,1
ODI # 146,Sri Lanka,England,Colombo,Sri Lanka,Sri Lanka,14,Feb,1982,1
ODI # 147,New Zealand,Australia,Dunedin,Australia,New Zealand,17,Feb,1982,2
ODI # 148,New Zealand,Australia,Wellington,Australia,New Zealand,20,Feb,1982,2
ODI # 149,Pakistan,Sri Lanka,Karachi,Pakistan,Pakistan,12,Mar,1982,2
ODI # 150,Pakistan,Sri Lanka,Lahore,Sri Lanka,Pakistan,29,Mar,1982,1
ODI # 151,Pakistan,Sri Lanka,Karachi,Pakistan,Pakistan,31,Mar,1982,2
ODI # 152,England,India,Leeds,England,England,2,Jun,1982,2
ODI # 153,England,India,The Oval,England,England,4,Jun,1982,1
ODI # 154,England,Pakistan,Nottingham,England,England,17,Jul,1982,2
ODI # 155,England,Pakistan,Manchester,England,England,19,Jul,1982,1
ODI # 156,India,Sri Lanka,Amritsar,India,India,12,Sep,1982,1
ODI # 157,India,Sri Lanka,Delhi,India,India,15,Sep,1982,2
ODI # 158,Pakistan,Australia,Hyderabad,Pakistan,India,20,Sep,1982,1
ODI # 159,India,Sri Lanka,Bengaluru,India,India,26,Sep,1982,2
ODI # 160,Pakistan,Australia,Lahore,Pakistan,Pakistan,8,Oct,1982,1
ODI # 162,Pakistan,India,Gujranwala,Pakistan,Pakistan,3,Dec,1982,1
ODI # 163,Pakistan,India,Multan,Pakistan,Pakistan,17,Dec,1982,1
ODI # 164,Pakistan,India,Lahore,India,Pakistan,31,Dec,1982,1
ODI # 165,Australia,New Zealand,Melbourne,Australia,Australia,9,Jan,1983,2
ODI # 166,Australia,England,Sydney,Australia,Australia,11,Jan,1983,1
ODI # 167,England,New Zealand,Melbourne,New Zealand,Australia,13,Jan,1983,1
ODI # 168,England,New Zealand,Brisbane,England,Australia,15,Jan,1983,1
ODI # 169,Australia,England,Brisbane,Australia,Australia,16,Jan,1983,2
ODI # 170,Australia,New Zealand,Sydney,New Zealand,Australia,18,Jan,1983,1
ODI # 171,England,New Zealand,Sydney,England,Australia,20,Jan,1983,2
ODI # 172,Pakistan,India,Karachi,Pakistan,Pakistan,21,Jan,1983,2
ODI # 173,Australia,New Zealand,Melbourne,New Zealand,Australia,22,Jan,1983,1
ODI # 174,Australia,England,Melbourne,Australia,Australia,23,Jan,1983,2
ODI # 175,Australia,England,Sydney,England,Australia,26,Jan,1983,1
ODI # 176,England,New Zealand,Adelaide,New Zealand,Australia,29,Jan,1983,2
ODI # 177,Australia,England,Adelaide,England,Australia,30,Jan,1983,1
ODI # 178,Australia,New Zealand,Adelaide,New Zealand,Australia,31,Jan,1983,1
ODI # 179,England,New Zealand,Perth,New Zealand,Australia,5,Feb,1983,2
ODI # 180,Australia,New Zealand,Perth,Australia,Australia,6,Feb,1983,1
ODI # 181,Australia,New Zealand,Sydney,Australia,Australia,9,Feb,1983,2
ODI # 182,Australia,New Zealand,Melbourne,Australia,Australia,13,Feb,1983,1
ODI # 183,New Zealand,England,Auckland,New Zealand,New Zealand,19,Feb,1983,2
ODI # 184,New Zealand,England,Wellington,New Zealand,New Zealand,23,Feb,1983,1
ODI # 185,New Zealand,England,Christchurch,New Zealand,New Zealand,26,Feb,1983,1
ODI # 186,New Zealand,Sri Lanka,Dunedin,New Zealand,New Zealand,2,Mar,1983,1
ODI # 187,West Indies,India,Port of Spain,West Indies,West Indies,9,Mar,1983,1
ODI # 188,Australia,New Zealand,Sydney,New Zealand,Australia,17,Mar,1983,1
ODI # 189,New Zealand,Sri Lanka,Napier,New Zealand,New Zealand,19,Mar,1983,2
ODI # 190,New Zealand,Sri Lanka,Auckland,New Zealand,New Zealand,20,Mar,1983,1
ODI # 191,West Indies,India,Albion,India,West Indies,29,Mar,1983,1
ODI # 192,West Indies,India,St George's,West Indies,West Indies,7,Apr,1983,2
ODI # 193,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,13,Apr,1983,2
ODI # 194,Sri Lanka,Australia,Colombo,Sri Lanka,Sri Lanka,16,Apr,1983,2
ODI # 197,England,New Zealand,The Oval,England,England,9,Jun,1983,1
ODI # 198,Pakistan,Sri Lanka,Swansea,Pakistan,England,9,Jun,1983,1
ODI # 199,Australia,Zimbabwe,Nottingham,Zimbabwe,England,9,Jun,1983,1
ODI # 200,India,West Indies,Manchester,India,England,9-10,Jun,1983,1
ODI # 201,England,Sri Lanka,Taunton,England,England,11,Jun,1983,1
ODI # 202,New Zealand,Pakistan,Birmingham,New Zealand,England,11-12,Jun,1983,1
ODI # 203,Australia,West Indies,Leeds,West Indies,England,11-12,Jun,1983,1
ODI # 204,India,Zimbabwe,Leicester,India,England,11,Jun,1983,2
ODI # 205,England,Pakistan,Lord's,England,England,13,Jun,1983,2
ODI # 206,New Zealand,Sri Lanka,Bristol,New Zealand,England,13,Jun,1983,2
ODI # 207,Australia,India,Nottingham,Australia,England,13,Jun,1983,1
ODI # 208,West Indies,Zimbabwe,Worcester,West Indies,England,13,Jun,1983,2
ODI # 209,England,New Zealand,Birmingham,New Zealand,England,15,Jun,1983,2
ODI # 210,India,West Indies,The Oval,West Indies,England,15,Jun,1983,1
ODI # 211,Pakistan,Sri Lanka,Leeds,Pakistan,England,16,Jun,1983,1
ODI # 212,Australia,Zimbabwe,Southampton,Australia,England,16,Jun,1983,1
ODI # 213,England,Pakistan,Manchester,England,England,18,Jun,1983,2
ODI # 214,New Zealand,Sri Lanka,Derby,Sri Lanka,England,18,Jun,1983,2
ODI # 215,Australia,West Indies,Lord's,West Indies,England,18,Jun,1983,2
ODI # 216,India,Zimbabwe,Tunbridge Wells,India,England,18,Jun,1983,1
ODI # 217,England,Sri Lanka,Leeds,England,England,20,Jun,1983,2
ODI # 218,New Zealand,Pakistan,Nottingham,Pakistan,England,20,Jun,1983,1
ODI # 219,Australia,India,Chelmsford,India,England,20,Jun,1983,1
ODI # 220,West Indies,Zimbabwe,Birmingham,West Indies,England,20,Jun,1983,2
ODI # 221,England,India,Manchester,India,England,22,Jun,1983,2
ODI # 222,Pakistan,West Indies,The Oval,West Indies,England,22,Jun,1983,2
ODI # 223,India,West Indies,Lord's,India,England,25,Jun,1983,1
ODI # 224,India,Pakistan,Hyderabad,India,India,10,Sep,1983,2
ODI # 225,India,Pakistan,Jaipur,India,India,2,Oct,1983,2
ODI # 226,India,West Indies,Srinagar,West Indies,India,13,Oct,1983,1
ODI # 227,India,West Indies,Vadodara,West Indies,India,9,Nov,1983,2
ODI # 228,India,West Indies,Indore,West Indies,India,1,Dec,1983,2
ODI # 229,India,West Indies,Jamshedpur,West Indies,India,7,Dec,1983,1
ODI # 230,India,West Indies,Guwahati,West Indies,India,17,Dec,1983,2
ODI # 231,Australia,West Indies,Melbourne,West Indies,Australia,8,Jan,1984,1
ODI # 232,Australia,Pakistan,Sydney,Australia,Australia,10,Jan,1984,1
ODI # 233,Pakistan,West Indies,Melbourne,Pakistan,Australia,12,Jan,1984,1
ODI # 234,Pakistan,West Indies,Brisbane,West Indies,Australia,14,Jan,1984,2
ODI # 236,Australia,West Indies,Sydney,West Indies,Australia,17,Jan,1984,1
ODI # 237,Pakistan,West Indies,Sydney,West Indies,Australia,19,Jan,1984,2
ODI # 238,Australia,Pakistan,Melbourne,Australia,Australia,21,Jan,1984,1
ODI # 239,Australia,West Indies,Melbourne,West Indies,Australia,22,Jan,1984,1
ODI # 240,Australia,Pakistan,Sydney,Australia,Australia,25,Jan,1984,1
ODI # 241,Pakistan,West Indies,Adelaide,West Indies,Australia,28,Jan,1984,2
ODI # 242,Australia,West Indies,Adelaide,West Indies,Australia,29,Jan,1984,2
ODI # 243,Australia,Pakistan,Adelaide,Australia,Australia,30,Jan,1984,1
ODI # 244,Pakistan,West Indies,Perth,West Indies,Australia,4,Feb,1984,2
ODI # 245,Australia,West Indies,Perth,Australia,Australia,5,Feb,1984,1
ODI # 246,Australia,West Indies,Sydney,West Indies,Australia,8,Feb,1984,2
ODI # 248,Australia,West Indies,Melbourne,West Indies,Australia,12,Feb,1984,2
ODI # 249,New Zealand,England,Christchurch,England,New Zealand,18,Feb,1984,1
ODI # 250,New Zealand,England,Wellington,England,New Zealand,22,Feb,1984,2
ODI # 251,New Zealand,England,Auckland,New Zealand,New Zealand,25,Feb,1984,2
ODI # 252,West Indies,Australia,Albion,West Indies,West Indies,29,Feb,1984,2
ODI # 253,Sri Lanka,New Zealand,Colombo,New Zealand,Sri Lanka,3,Mar,1984,1
ODI # 254,Pakistan,England,Lahore,Pakistan,Pakistan,9,Mar,1984,2
ODI # 255,West Indies,Australia,Port of Spain,Australia,West Indies,14,Mar,1984,2
ODI # 256,Pakistan,England,Karachi,England,Pakistan,26,Mar,1984,2
ODI # 257,Sri Lanka,New Zealand,Moratuwa,Sri Lanka,Sri Lanka,31,Mar,1984,1
ODI # 258,Sri Lanka,New Zealand,Colombo,New Zealand,Sri Lanka,1,Apr,1984,1
ODI # 259,Pakistan,Sri Lanka,Sharjah,Sri Lanka,U.A.E.,6,Apr,1984,2
ODI # 260,India,Sri Lanka,Sharjah,India,U.A.E.,8,Apr,1984,2
ODI # 261,India,Pakistan,Sharjah,India,U.A.E.,13,Apr,1984,1
ODI # 262,West Indies,Australia,Castries,West Indies,West Indies,19,Apr,1984,2
ODI # 263,West Indies,Australia,Kingston,West Indies,West Indies,26,Apr,1984,2
ODI # 264,England,West Indies,Manchester,West Indies,England,31,May,1984,1
ODI # 265,England,West Indies,Nottingham,England,England,2,Jun,1984,2
ODI # 266,England,West Indies,Lord's,West Indies,England,4,Jun,1984,2
ODI # 267,India,Australia,New Delhi,Australia,,28,Sep,1984,1
ODI # 270,India,Australia,Ahmedabad,Australia,India,5,Oct,1984,2
ODI # 271,India,Australia,Indore,Australia,India,6,Oct,1984,2
ODI # 272,Pakistan,India,Quetta,Pakistan,Pakistan,12,Oct,1984,1
ODI # 274,Sri Lanka,New Zealand,Colombo,Sri Lanka,Sri Lanka,3,Nov,1984,2
ODI # 275,Sri Lanka,New Zealand,Moratuwa,New Zealand,Sri Lanka,4,Nov,1984,2
ODI # 276,Pakistan,New Zealand,Peshawar,Pakistan,Pakistan,12,Nov,1984,1
ODI # 277,Pakistan,New Zealand,Faisalabad,Pakistan,Pakistan,23,Nov,1984,1
ODI # 278,Pakistan,New Zealand,Sialkot,New Zealand,Pakistan,2,Dec,1984,1
ODI # 279,India,England,Pune,England,India,5,Dec,1984,2
ODI # 280,Pakistan,New Zealand,Multan,Pakistan,Pakistan,7,Dec,1984,2
ODI # 281,India,England,Cuttack,England,India,27,Dec,1984,1
ODI # 282,Australia,West Indies,Melbourne,West Indies,Australia,6,Jan,1985,2
ODI # 283,Australia,Sri Lanka,Sydney,Australia,Australia,8,Jan,1985,2
ODI # 284,Sri Lanka,West Indies,Hobart,West Indies,Australia,10,Jan,1985,2
ODI # 285,New Zealand,Pakistan,Napier,New Zealand,New Zealand,12,Jan,1985,1
ODI # 286,Sri Lanka,West Indies,Brisbane,West Indies,Australia,12,Jan,1985,1
ODI # 287,Australia,West Indies,Brisbane,West Indies,Australia,13,Jan,1985,2
ODI # 288,New Zealand,Pakistan,Hamilton,New Zealand,New Zealand,15,Jan,1985,2
ODI # 289,Australia,West Indies,Sydney,West Indies,Australia,15,Jan,1985,2
ODI # 290,Sri Lanka,West Indies,Sydney,West Indies,Australia,17,Jan,1985,1
ODI # 291,Australia,Sri Lanka,Melbourne,Sri Lanka,Australia,19,Jan,1985,2
ODI # 292,Australia,West Indies,Melbourne,West Indies,Australia,20,Jan,1985,1
ODI # 293,India,England,Bengaluru,England,India,20,Jan,1985,2
ODI # 294,Australia,Sri Lanka,Sydney,Australia,Australia,23,Jan,1985,2
ODI # 295,India,England,Nagpur,India,India,23,Jan,1985,2
ODI # 296,Sri Lanka,West Indies,Adelaide,West Indies,Australia,26,Jan,1985,2
ODI # 297,Australia,West Indies,Adelaide,West Indies,Australia,27,Jan,1985,2
ODI # 298,India,England,Chandigarh,England,India,27,Jan,1985,1
ODI # 299,Australia,Sri Lanka,Adelaide,Australia,Australia,28,Jan,1985,1
ODI # 300,Sri Lanka,West Indies,Perth,West Indies,Australia,2,Feb,1985,1
ODI # 301,Australia,Sri Lanka,Perth,Australia,Australia,3,Feb,1985,2
ODI # 302,New Zealand,Pakistan,Christchurch,New Zealand,New Zealand,6,Feb,1985,1
ODI # 303,Australia,West Indies,Sydney,Australia,Australia,6,Feb,1985,1
ODI # 304,Australia,West Indies,Melbourne,West Indies,Australia,10,Feb,1985,2
ODI # 305,Australia,West Indies,Sydney,West Indies,Australia,12,Feb,1985,2
ODI # 307,Australia,England,Melbourne,Australia,Australia,17,Feb,1985,2
ODI # 309,India,Pakistan,Melbourne,India,Australia,20,Feb,1985,2
ODI # 310,New Zealand,Sri Lanka,Melbourne,New Zealand,Australia,23,Feb,1985,1
ODI # 311,Australia,Pakistan,Melbourne,Pakistan,Australia,24,Feb,1985,1
ODI # 312,England,India,Sydney,India,Australia,26,Feb,1985,1
ODI # 313,Sri Lanka,West Indies,Melbourne,West Indies,Australia,27,Feb,1985,2
ODI # 314,England,Pakistan,Melbourne,Pakistan,Australia,2,Mar,1985,1
ODI # 315,Australia,India,Melbourne,India,Australia,3,Mar,1985,2
ODI # 316,India,New Zealand,Sydney,India,Australia,5,Mar,1985,2
ODI # 317,Pakistan,West Indies,Melbourne,Pakistan,Australia,6,Mar,1985,2
ODI # 318,New Zealand,West Indies,Sydney,West Indies,Australia,9,Mar,1985,2
ODI # 319,India,Pakistan,Melbourne,India,Australia,10,Mar,1985,2
ODI # 320,West Indies,New Zealand,St John's,West Indies,West Indies,20,Mar,1985,1
ODI # 321,India,Pakistan,Sharjah,India,U.A.E.,22,Mar,1985,1
ODI # 322,Australia,England,Sharjah,Australia,U.A.E.,24,Mar,1985,2
ODI # 323,England,Pakistan,Sharjah,Pakistan,U.A.E.,26,Mar,1985,1
ODI # 324,West Indies,New Zealand,Port of Spain,West Indies,West Indies,27,Mar,1985,2
ODI # 325,Australia,India,Sharjah,India,U.A.E.,29,Mar,1985,2
ODI # 326,West Indies,New Zealand,Albion,West Indies,West Indies,14,Apr,1985,1
ODI # 327,West Indies,New Zealand,Port of Spain,West Indies,West Indies,17,Apr,1985,2
ODI # 328,West Indies,New Zealand,Bridgetown,West Indies,West Indies,23,Apr,1985,1
ODI # 329,England,Australia,Manchester,Australia,England,30,May,1985,2
ODI # 330,England,Australia,Birmingham,Australia,England,1,Jun,1985,2
ODI # 331,England,Australia,Lord's,England,England,3,Jun,1985,2
ODI # 332,Sri Lanka,India,Colombo,India,Sri Lanka,25,Aug,1985,2
ODI # 333,Sri Lanka,India,Colombo,Sri Lanka,Sri Lanka,21,Sep,1985,1
ODI # 335,Pakistan,Sri Lanka,Peshawar,Pakistan,Pakistan,13,Oct,1985,2
ODI # 336,Pakistan,Sri Lanka,Gujranwala,Pakistan,Pakistan,23,Oct,1985,1
ODI # 337,Pakistan,Sri Lanka,Lahore,Pakistan,Pakistan,25,Oct,1985,2
ODI # 338,Pakistan,Sri Lanka,Hyderabad,Pakistan,India,3,Nov,1985,1
ODI # 339,Pakistan,West Indies,Sharjah,West Indies,U.A.E.,15,Nov,1985,2
ODI # 340,India,Pakistan,Sharjah,Pakistan,U.A.E.,17,Nov,1985,1
ODI # 341,India,West Indies,Sharjah,West Indies,U.A.E.,22,Nov,1985,2
ODI # 342,Pakistan,West Indies,Gujranwala,West Indies,Pakistan,27,Nov,1985,2
ODI # 343,Pakistan,West Indies,Lahore,Pakistan,Pakistan,29,Nov,1985,2
ODI # 344,Pakistan,West Indies,Peshawar,West Indies,Pakistan,2,Dec,1985,1
ODI # 345,Pakistan,West Indies,Rawalpindi,Pakistan,Pakistan,4,Dec,1985,2
ODI # 346,Pakistan,West Indies,Karachi,West Indies,Pakistan,6,Dec,1985,2
ODI # 348,India,New Zealand,Brisbane,India,Australia,11,Jan,1986,2
ODI # 349,Australia,India,Brisbane,Australia,Australia,12,Jan,1986,2
ODI # 350,Australia,New Zealand,Sydney,Australia,Australia,14,Jan,1986,2
ODI # 351,Australia,India,Melbourne,India,Australia,16,Jan,1986,2
ODI # 352,India,New Zealand,Perth,New Zealand,Australia,18,Jan,1986,2
ODI # 353,Australia,New Zealand,Perth,Australia,Australia,19,Jan,1986,2
ODI # 354,Australia,India,Sydney,Australia,Australia,21,Jan,1986,1
ODI # 355,India,New Zealand,Melbourne,New Zealand,Australia,23,Jan,1986,2
ODI # 356,India,New Zealand,Adelaide,India,Australia,25,Jan,1986,2
ODI # 357,Australia,India,Adelaide,Australia,Australia,26,Jan,1986,1
ODI # 358,Australia,New Zealand,Adelaide,New Zealand,Australia,27,Jan,1986,1
ODI # 359,Australia,New Zealand,Sydney,Australia,Australia,29,Jan,1986,1
