Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
AJ McKay ,2010-2012,19,10,7,12,4,4.0,47,25.53,0,0,3,SCOT
PS Mehta ,1975-1975,1,1,0,12,12,12.0,41,29.26,0,0,0,ENG
PJK Mooney ,2006-2007,4,3,2,12,11,12.0,9,133.33,0,0,1,SL
T Muzarabani ,2015-2016,8,7,3,12,5,3.0,40,30.0,0,0,1,PAK
Naeemuddin Aslam ,2004-2004,2,2,0,12,12,6.0,31,38.7,0,0,1,NZ
TS Nethula ,2012-2012,5,3,1,12,9,6.0,11,109.09,0,0,1,WI
Noor-ul-Haq ,2010-2010,2,2,0,12,12,6.0,58,20.68,0,0,1,WI
EJ Richardson ,2013-2013,2,1,0,12,12,12.0,18,66.66,0,0,0,SL
P Sarraf ,2019-2019,2,2,0,12,8,6.0,18,66.66,0,0,0,NL
S Snater ,2018-2018,2,2,0,12,12,6.0,14,85.71,0,0,1,INDIA
Abul Hasan ,2012-2018,7,3,0,11,7,3.66,16,68.75,0,0,0,PAK
Ahmed Kamal ,1999-1999,1,1,0,11,11,11.0,19,57.89,0,0,0,INDIA
MJD Allingham ,1999-1999,3,3,0,11,6,3.66,96,11.45,0,0,0,SCOT
Arshad Pervez ,1978-1978,2,2,0,11,8,5.5,47,23.4,0,0,0,CAN
J Blackwood ,2015-2015,2,2,0,11,9,5.5,23,47.82,0,0,0,WI
LJ Burger ,2003-2003,6,6,1,11,5,2.2,62,17.74,0,0,2,SCOT
SF Burger ,2003-2003,2,2,0,11,6,5.5,20,55.0,0,0,0,PAK
PH Carlson ,1979-1979,4,2,0,11,11,5.5,30,36.66,0,0,1,BDESH
Haafiz Shahid ,1988-1988,3,3,2,11,7,11.0,23,47.82,0,0,0,CAN
GW Humpage ,1981-1981,3,2,0,11,6,5.5,24,45.83,0,0,0,WI
Jasdeep Singh ,2019-2019,4,3,0,11,11,3.66,39,28.2,0,0,2,NZ
NGRP Jayasuriya ,2018-2018,2,2,1,11,11,11.0,13,84.61,0,0,1,NZ
SMS Kaluperuma ,1988-1988,2,2,0,11,7,5.5,41,26.82,0,0,0,INDIA
NM Kulkarni ,1997-1998,10,5,3,11,5,5.5,20,55.0,0,0,1,AUS
JA Maclean ,1979-1979,2,1,0,11,11,11.0,33,33.33,0,0,0,NZ
PM Pushpakumara ,2017-2017,2,2,0,11,8,5.5,26,42.3,0,0,0,SCOT
Saad Ali ,2019-2019,2,2,0,11,7,5.5,23,47.82,0,0,0,SL
G Sharma ,1985-1987,11,2,0,11,7,5.5,24,45.83,0,0,0,INDIA
R Sharma ,2004-2004,2,2,0,11,10,5.5,24,45.83,0,0,0,INDIA
FJ Titmus ,1975-1975,2,1,0,11,11,11.0,32,34.37,0,0,0,UAE
GD Watson ,1972-1972,2,2,1,11,11,11.0,16,68.75,0,0,1,PAK
JG Williamson ,1999-1999,2,2,0,11,10,5.5,35,31.42,0,0,0,NZ
TR Ambrose ,2008-2008,5,5,1,10,6,2.5,34,29.41,0,0,1,USA
MA Aponso ,2016-2018,9,7,4,10,4,3.33,45,22.22,0,0,1,AFG
Asif Masood ,1973-1976,7,3,1,10,6,5.0,17,58.82,0,0,1,IRE
HK Bennett ,2010-2017,16,7,5,10,4,5.0,35,28.57,0,0,1,ENG
D Brown ,2001-2002,3,2,1,10,9,10.0,20,50.0,0,0,0,BDESH
ML Cummins ,2014-2017,11,3,1,10,5,5.0,27,37.03,0,0,0,EAf
DLS de Silva ,1979-1979,2,1,0,10,10,10.0,35,28.57,0,0,0,AFG
JJ Esmeijer ,2002-2003,6,5,1,10,7,2.5,43,23.25,0,0,3,UAE
W Jaffer ,2006-2006,2,2,0,10,10,5.0,23,43.47,0,0,1,USA
Kabir Khan ,1994-2000,10,5,4,10,5,10.0,25,40.0,0,0,0,ENG
AV Kale ,2003-2003,1,1,0,10,10,10.0,22,45.45,0,0,0,NZ
NJ MacRae ,2006-2006,2,2,0,10,8,5.0,36,27.77,0,0,0,ENG
CA Marshall ,1979-1979,2,2,0,10,8,5.0,41,24.39,0,0,0,SA
A Martin ,2011-2011,9,6,5,10,4,10.0,29,34.48,0,0,0,CAN
BMW Patterson ,1999-1999,3,3,0,10,10,3.33,43,23.25,0,0,2,INDIA
Shariful Haque ,1998-1998,1,1,0,10,10,10.0,6,166.66,0,0,0,WI
RAJ Smith ,2016-2016,2,1,0,10,10,10.0,6,166.66,0,0,0,WI
TE Srinivasan ,1980-1981,2,2,0,10,6,5.0,35,28.57,0,0,0,SA
MP Stead ,1979-1979,2,2,0,10,10,5.0,45,22.22,0,0,1,SA
GC Tonge ,2009-2009,5,4,2,10,5,5.0,16,62.5,0,0,0,CAN
MDJ Walker ,2003-2003,3,1,0,10,10,10.0,6,166.66,0,0,0,WI
WA Wisneski ,2000-2000,3,2,1,10,6,10.0,17,58.82,0,0,0,INDIA
KK Ahmed ,2018-2019,11,3,1,9,5,4.5,17,52.94,0,0,0,BDESH
MJ Bennett ,1984-1985,8,4,1,9,6,3.0,21,42.85,0,0,2,BDESH
SM Boland ,2016-2016,14,4,1,9,4,3.0,22,40.9,0,0,1,INDIA
CE Bulfin ,1999-1999,4,2,1,9,7,9.0,8,112.5,0,0,0,HKG
SJ Cameron ,2018-2018,2,2,1,9,8,9.0,13,69.23,0,0,0,ZIM
GN de Silva ,1983-1985,4,2,1,9,7,9.0,18,50.0,0,0,0,ZIM
GRA de Silva ,1975-1982,6,4,2,9,6,4.5,33,27.27,0,0,1,AUS
DR Doshi ,1980-1982,15,5,2,9,5,3.0,20,45.0,0,0,2,SA
S Dube ,2019-2019,1,1,0,9,9,9.0,6,150.0,0,0,0,PAK
Fahad Usman ,2004-2004,2,2,0,9,9,4.5,18,50.0,0,0,1,INDIA
Faisal Athar ,2003-2003,1,1,0,9,9,9.0,38,23.68,0,0,0,USA
MJ Haslam ,1992-1992,1,1,0,9,9,9.0,18,50.0,0,0,0,INDIA
AG Huckle ,1997-1999,19,8,4,9,5,2.25,16,56.25,0,0,3,UAE
HR Johnson ,2004-2004,2,2,1,9,9,9.0,20,45.0,0,0,0,ENG
Karim Janat ,2017-2017,1,1,0,9,9,9.0,33,27.27,0,0,0,SL
JB Little ,2019-2019,4,2,0,9,9,4.5,8,112.5,0,0,1,SA
DE Malcolm ,1990-1994,10,5,2,9,4,3.0,11,81.81,0,0,1,ZIM
Mohammad Salim ,2003-2003,1,1,0,9,9,9.0,24,37.5,0,0,0,PAK
PG Nana ,1975-1975,3,3,2,9,8,9.0,45,20.0,0,0,1,SL
Naveen-ul-Haq ,2016-2019,4,3,2,9,8,9.0,21,42.85,0,0,0,KENYA
Qadeer Ahmed ,2015-2019,11,6,4,9,4,4.5,31,29.03,0,0,0,CAN
LS Rajput ,1985-1987,4,4,1,9,8,3.0,31,29.03,0,0,2,AFG
Rashid Zia ,2004-2004,2,2,0,9,8,4.5,57,15.78,0,0,0,SA
JA Snow ,1971-1975,9,4,2,9,5,4.5,41,21.95,0,0,0,SL
GP Sulzberger ,2000-2000,3,2,1,9,6,9.0,15,60.0,0,0,0,SL
AJ Tudor ,2002-2002,3,2,1,9,6,9.0,11,81.81,0,0,0,AUS
VB van Jaarsveld ,2009-2009,2,2,0,9,5,4.5,15,60.0,0,0,0,WI
Zahid Hussain ,2011-2011,2,2,1,9,7,9.0,31,29.03,0,0,0,AUS
VR Aaron ,2011-2014,9,3,2,8,6,8.0,15,53.33,0,0,1,BDESH
Asif Iqbal ,2015-2015,1,1,0,8,8,8.0,8,100.0,0,0,0,WI
RA Austin ,1978-1978,1,1,0,8,8,8.0,13,61.53,0,0,0,ENG
BS Browne ,1994-1994,4,3,2,8,8,8.0,24,33.33,0,0,1,NAM
CJ Dala ,2018-2018,2,2,1,8,5,8.0,6,133.33,0,0,0,ENG
H Davids ,2013-2013,2,2,0,8,7,4.0,24,33.33,0,0,0,UAE
PA Desai ,2010-2014,13,8,5,8,3,2.66,55,14.54,0,0,2,NL
R Dhanraj ,1994-1995,6,2,1,8,8,8.0,32,25.0,0,0,0,ENG
P Dharmani ,1996-1996,1,1,0,8,8,8.0,8,100.0,0,0,0,NL
TL Fernando ,1989-1989,1,1,0,8,8,8.0,6,133.33,0,0,0,SCOT
Gholam Nousher ,1986-1990,9,3,2,8,4,8.0,16,50.0,0,0,0,AUS
Hafizur Rahman ,1986-1986,2,1,0,8,8,8.0,24,33.33,0,0,0,AUS
ND Hirwani ,1988-1992,18,7,3,8,4,2.0,29,27.58,0,0,2,INDIA
KH Butt ,2008-2008,2,2,0,8,4,4.0,28,28.57,0,0,0,ZIM
ACI Lock ,1996-1996,8,3,2,8,5,8.0,20,40.0,0,0,0,UAE
MA Lynch ,1988-1988,3,3,0,8,6,2.66,32,25.0,0,0,1,NL
CS Martin ,2001-2008,20,7,2,8,3,1.6,27,29.62,0,0,2,WI
EZ Matambanadzo ,1996-1997,7,5,3,8,5,4.0,33,24.24,0,0,1,BDESH
MG Neser ,2018-2018,2,2,0,8,6,4.0,16,50.0,0,0,0,ENG
A Nortje ,2019-2019,4,1,0,8,8,8.0,18,44.44,0,0,0,EAf
PDRL Perera ,1999-2007,19,7,2,8,4,1.6,18,44.44,0,0,4,INDIA
Rahat Ali ,2012-2016,14,7,4,8,6,2.66,37,21.62,0,0,2,ENG
SS Raul ,1998-1998,2,2,0,8,8,4.0,14,57.14,0,0,1,CAN
CA Reid ,2004-2004,2,2,0,8,6,4.0,17,47.05,0,0,0,INDIA
RL Sanghvi ,1998-1998,10,2,0,8,8,4.0,11,72.72,0,0,1,AUS
VRV Singh ,2006-2006,2,1,0,8,8,8.0,13,61.53,0,0,0,KENYA
Sohail Butt ,1994-1994,2,2,1,8,6,8.0,14,57.14,0,0,0,INDIA
DS Steele ,1976-1976,1,1,0,8,8,8.0,12,66.66,0,0,0,SA
DM Vonhagt ,1985-1985,1,1,0,8,8,8.0,17,47.05,0,0,0,WI
HS Williams ,1999-2000,7,2,1,8,7,8.0,11,72.72,0,0,0,PAK
KG Duers ,1992-1992,6,2,1,7,5,7.0,20,35.0,0,0,0,ENG
Fazl-e-Akbar ,1998-2001,2,1,0,7,7,7.0,8,87.5,0,0,0,PAK
WCA Ganegama ,2001-2006,4,2,0,7,7,3.5,9,77.77,0,0,1,BDESH
DM Gondaria ,2013-2013,2,2,0,7,6,3.5,45,15.55,0,0,0,HKG
JOA Gordon ,2012-2014,5,4,2,7,4,3.5,28,25.0,0,0,0,EAf
Izatullah Dawlatzai ,2010-2015,5,3,1,7,6,3.5,27,25.92,0,0,1,AFG
SD Jack ,1994-1995,2,2,0,7,6,3.5,8,87.5,0,0,0,PAK
MKGCP Lakshitha ,2002-2003,7,2,1,7,4,7.0,12,58.33,0,0,0,EAf
Liaqat Ali ,1977-1978,3,1,0,7,7,7.0,31,22.58,0,0,0,WI
DSK Madushanka ,2018-2018,1,1,0,7,7,7.0,6,116.66,0,0,0,PAK
GA Manou ,2009-2009,4,1,0,7,7,7.0,6,116.66,0,0,0,INDIA
EA Moseley ,1990-1991,9,6,2,7,2,1.75,15,46.66,0,0,2,BDESH
JK Moss ,1979-1979,1,1,0,7,7,7.0,16,43.75,0,0,0,BDESH
Nazmul Islam ,2018-2018,5,1,0,7,7,7.0,13,53.84,0,0,0,SA
RA Reifer ,2019-2019,2,1,0,7,7,7.0,12,58.33,0,0,0,BDESH
IDK Salisbury ,1993-1994,4,2,1,7,5,7.0,12,58.33,0,0,0,WI
BM Scholtz ,2019-2019,5,3,2,7,6,7.0,21,33.33,0,0,0,IRE
K Shuttleworth ,1971-1971,1,1,0,7,7,7.0,19,36.84,0,0,0,ENG
EHSN Silva ,2008-2008,1,1,0,7,7,7.0,13,53.84,0,0,0,SL
NA Statham ,2003-2009,3,3,0,7,7,2.33,50,14.0,0,0,2,INDIA
RJW Topley ,2015-2016,10,5,4,7,6,7.0,40,17.5,0,0,0,NAM
RF van Oosterom ,1996-2002,3,3,2,7,5,7.0,27,25.92,0,0,1,INDIA
SG Whittingham ,2017-2019,5,4,2,7,3,3.5,17,41.17,0,0,0,AUS
Bhupinder Singh snr ,1994-1994,2,1,0,6,6,6.0,13,46.15,0,0,0,INDIA
IW Callen ,1978-1982,5,3,2,6,3,6.0,13,46.15,0,0,1,ENG
GD Campbell ,1989-1990,12,3,1,6,4,3.0,19,31.57,0,0,1,ZIM
U Chatterjee ,1995-1995,3,2,1,6,3,6.0,30,20.0,0,0,0,INDIA
MT Chinouya ,2013-2013,2,2,1,6,6,6.0,8,75.0,0,0,1,BDESH
DDP D'Silva ,2019-2019,3,2,0,6,4,3.0,14,42.85,0,0,0,CAN
WP Diepeveen ,2011-2011,1,1,0,6,6,6.0,7,85.71,0,0,0,CAN
SO Dowrich ,2019-2019,1,1,0,6,6,6.0,8,75.0,0,0,0,AUS
Fahim Muntasir ,2001-2002,3,3,1,6,5,3.0,17,35.29,0,0,1,SA
AP Grayson ,2000-2001,2,2,0,6,6,3.0,13,46.15,0,0,1,INDIA
Harilal Shah ,1975-1975,3,3,0,6,6,2.0,56,10.71,0,0,2,EAf
Harvinder Singh ,1997-2001,16,5,1,6,3,1.5,19,31.57,0,0,1,NL
M Hendrick ,1973-1981,22,10,5,6,2,1.2,22,27.27,0,0,3,AUS
CC Henry ,1979-1979,2,2,1,6,5,6.0,14,42.85,0,0,0,NL
P Krishnamurthy ,1976-1976,1,1,0,6,6,6.0,13,46.15,0,0,0,NEPAL
MJ North ,2009-2009,2,2,0,6,5,3.0,19,31.57,0,0,0,ENG
LN Oluoch ,2011-2011,2,2,1,6,5,6.0,6,100.0,0,0,0,SL
AK Patel ,1984-1985,8,2,0,6,6,3.0,11,54.54,0,0,1,SL
DB Rundle ,1994-1994,2,2,0,6,6,3.0,11,54.54,0,0,1,AUS
R Shepherd ,2019-2019,3,1,0,6,6,6.0,9,66.66,0,0,0,AfrSA
Usman Shinwari ,2017-2019,17,4,1,6,6,2.0,7,85.71,0,0,2,AUS
Aijaz Ali ,2004-2004,2,2,0,5,4,2.5,11,45.45,0,0,0,SL
RT Crandon ,2009-2009,1,1,0,5,5,5.0,9,55.55,0,0,0,SCOT
N Fernandes ,2008-2008,1,1,0,5,5,5.0,13,38.46,0,0,0,SL
R Illingworth ,1971-1973,3,2,0,5,4,2.5,18,27.77,0,0,0,NZ
Jalal-ud-Din ,1982-1983,8,2,0,5,5,2.5,5,100.0,0,0,1,SL
Jubair Hossain ,2014-2015,3,1,0,5,5,5.0,9,55.55,0,0,0,UAE
Khalid Khan ,2004-2004,2,2,0,5,3,2.5,8,62.5,0,0,0,HKG
H McLeod ,1975-1975,2,2,0,5,5,2.5,10,50.0,0,0,1,BDESH
Mansoor Amjad ,2008-2008,1,1,0,5,5,5.0,10,50.0,0,0,0,BDESH
Maqsood Rana ,1990-1990,1,1,0,5,5,5.0,13,38.46,0,0,0,ZIM
Najeeb Tarakai ,2017-2017,1,1,0,5,5,5.0,18,27.77,0,0,0,NZ
Naumanullah ,2008-2008,1,1,0,5,5,5.0,4,125.0,0,0,0,INDIA
Neeyamur Rashid ,1999-1999,2,2,1,5,4,5.0,5,100.0,0,0,0,CAN
DJ Pringle ,1975-1975,2,2,0,5,3,2.5,15,33.33,0,0,0,SCOT
D Ramnarine ,1997-2001,4,3,0,5,2,1.66,13,38.46,0,0,0,NZ
Sajjad Akbar ,1990-1990,2,1,0,5,5,5.0,9,55.55,0,0,0,NEPAL
L Sivaramakrishnan ,1985-1987,16,4,2,5,2,2.5,24,20.83,0,0,0,CAN
G Snyman ,2003-2003,5,4,0,5,5,1.25,9,55.55,0,0,3,UAE
Talha Jubair ,2002-2003,6,5,3,5,4,2.5,15,33.33,0,0,2,SA
Tanbir Hayder ,2016-2016,2,2,0,5,3,2.5,16,31.25,0,0,0,AFG
DJ Terbrugge ,2000-2000,4,2,1,5,5,5.0,14,35.71,0,0,0,PAK
RK Whelan ,2007-2007,2,2,0,5,5,2.5,12,41.66,0,0,1,AFG
Al-Amin Hossain ,2014-2015,14,7,5,4,2,2.0,20,20.0,0,0,2,BDESH
MI Black ,2001-2001,5,2,0,4,4,2.0,14,28.57,0,0,1,AUS
PS Eaglestone ,2008-2008,1,1,0,4,4,4.0,3,133.33,0,0,0,AUS
PJ Franks ,2000-2000,1,1,0,4,4,4.0,17,23.52,0,0,0,UAE
PLS Gamage ,2014-2017,9,5,3,4,3,2.0,27,14.81,0,0,0,IRE
D Ganesh ,1997-1997,1,1,0,4,4,4.0,8,50.0,0,0,0,SL
Z Groenewald ,2019-2019,4,2,1,4,3,4.0,19,21.05,0,0,0,BMUDA
Gursharan Singh ,1990-1990,1,1,0,4,4,4.0,10,40.0,0,0,0,PAK
SD Heazlett ,2017-2017,1,1,0,4,4,4.0,11,36.36,0,0,0,AFG
Jahangir Alam ,1997-1999,3,3,0,4,3,1.33,22,18.18,0,0,1,UAE
CH Lonsdale ,2007-2007,1,1,0,4,4,4.0,28,14.28,0,0,0,CAN
GK Pandey ,1999-1999,2,2,1,4,4,4.0,11,36.36,0,0,1,PAK
PI Pocock ,1985-1985,1,1,0,4,4,4.0,9,44.44,0,0,0,ENG
LN Roche ,2018-2018,3,2,0,4,4,2.0,10,40.0,0,0,1,BMUDA
AM Salvi ,2003-2003,4,3,1,4,4,2.0,14,28.57,0,0,2,PAK
Samiur Rahman ,1986-1986,2,2,0,4,4,2.0,7,57.14,0,0,1,NZ
BB Seebaran ,2003-2003,4,3,2,4,4,4.0,13,30.76,0,0,1,CAN
Shahzad Khan ,2007-2007,1,1,0,4,4,4.0,12,33.33,0,0,0,WI
B Stanlake ,2017-2019,7,5,2,4,2,1.33,28,14.28,0,0,1,IRE
RW Staple ,2004-2004,2,2,0,4,4,2.0,11,36.36,0,0,1,IRE
PJR Steyn ,1995-1995,1,1,0,4,4,4.0,14,28.57,0,0,0,WI
R Sudhakar Rao ,1976-1976,1,1,0,4,4,4.0,14,28.57,0,0,0,SL
S Sumar ,1975-1975,1,1,0,4,4,4.0,11,36.36,0,0,0,SL
VAB Tewarie ,2011-2011,1,1,0,4,4,4.0,22,18.18,0,0,0,SL
GS Trimble ,1986-1986,2,2,1,4,4,4.0,5,80.0,0,0,0,UAE
T van der Gugten ,2012-2013,4,2,0,4,2,2.0,6,66.66,0,0,0,BDESH
S Vesawkar ,2018-2018,1,1,0,4,4,4.0,15,26.66,0,0,0,UAE
SL Watkin ,1994-1994,4,2,0,4,4,2.0,23,17.39,0,0,1,OMAN
UWMBCA Welegedara ,2009-2010,10,3,2,4,2,4.0,9,44.44,0,0,0,ENG
RPAH Wickramaratne ,1993-1993,3,2,0,4,3,2.0,6,66.66,0,0,0,SL
P Wilson ,1997-1998,11,5,2,4,2,1.33,13,30.76,0,0,2,AUS
M Zondeki ,2002-2008,13,3,2,4,3,4.0,5,80.0,0,0,1,INDIA
SA Abbott ,2014-2014,1,1,0,3,3,3.0,7,42.85,0,0,0,KENYA
Abdullah Mazari ,2010-2010,2,1,0,3,3,3.0,16,18.75,0,0,0,SL
Ali Khan ,2019-2019,1,1,0,3,3,3.0,11,27.27,0,0,0,ENG
JWHD Boteju ,1999-1999,2,2,1,3,2,3.0,11,27.27,0,0,0,PAK
NR Dyer ,1999-1999,5,4,3,3,2,3.0,14,21.42,0,0,1,AUS
D Gamage ,2003-2003,3,2,1,3,2,3.0,10,30.0,0,0,0,NL
RT Hart ,1985-1985,1,1,0,3,3,3.0,29,10.34,0,0,0,CAN
PD Heyn ,1975-1975,2,2,0,3,2,1.5,20,15.0,0,0,0,ZIM
Junaid Siddique ,2019-2019,3,2,1,3,2,3.0,10,30.0,0,0,0,PAK
CK Kruger ,2008-2008,2,2,0,3,3,1.5,20,15.0,0,0,1,INDIA
Mahbubur Rahman ,1999-1999,1,1,0,3,3,3.0,8,37.5,0,0,0,ENG
Mazharul Haque ,2002-2002,1,1,0,3,3,3.0,18,16.66,0,0,0,KENYA
CT Mumba ,2016-2017,2,2,1,3,2,3.0,7,42.85,0,0,0,WI
DJ Murray ,1994-1994,1,1,0,3,3,3.0,17,17.64,0,0,0,USA
SV Nayak ,1981-1982,4,1,0,3,3,3.0,19,15.78,0,0,0,INDIA
JM Patel ,1979-1979,3,3,0,3,2,1.0,23,13.04,0,0,1,ENG
MJ Petrie ,2009-2009,4,2,0,3,3,1.5,18,16.66,0,0,1,NL
GD Porter ,1979-1979,2,1,0,3,3,3.0,9,33.33,0,0,0,INDIA
RE Redmond ,1973-1973,2,1,0,3,3,3.0,11,27.27,0,0,0,UAE
Sagar Pun ,2018-2018,1,1,0,3,3,3.0,20,15.0,0,0,0,AUS
A Shamshudeen ,2007-2007,1,1,0,3,3,3.0,28,10.71,0,0,0,CAN
Usman Mushtaq ,2015-2015,1,1,0,3,3,3.0,7,42.85,0,0,0,ENG
CJPG van Zyl ,1992-1992,2,2,1,3,3,3.0,11,27.27,0,0,1,CAN
Yamin Ahmadzai ,2015-2019,4,2,1,3,3,3.0,19,15.78,0,0,1,SCOT
Zahid Ahmed ,1987-1987,2,2,1,3,3,3.0,13,23.07,0,0,1,HKG
Ahmed Shah ,2009-2009,1,1,0,2,2,2.0,10,20.0,0,0,0,ENG
Anisur Rahman ,1995-1998,2,2,0,2,2,1.0,11,18.18,0,0,1,NL
HWR Cartwright ,2017-2017,2,2,0,2,1,1.0,23,8.69,0,0,0,SCOT
BR Dorey ,2006-2006,4,1,0,2,2,2.0,8,25.0,0,0,0,BDESH
WJ Edwards ,1975-1975,1,1,0,2,2,2.0,14,14.28,0,0,0,AUS
Elias Sunny ,2011-2012,4,4,2,2,1,1.0,11,18.18,0,0,1,OMAN
Fahad Nawaz ,2019-2019,2,2,0,2,2,1.0,10,20.0,0,0,1,SL
PG Gillespie ,2006-2007,5,4,0,2,2,0.5,14,14.28,0,0,3,SA
AAW Gunawardena ,1994-1994,1,1,0,2,2,2.0,10,20.0,0,0,0,UAE
R Hekure ,2019-2019,1,1,0,2,2,2.0,8,25.0,0,0,0,PAK
KC Hodsoll ,2007-2008,3,2,1,2,2,2.0,7,28.57,0,0,1,HKG
Hussain Talat ,2019-2019,1,1,0,2,2,2.0,14,14.28,0,0,0,NZ
Ibrahim Zadran ,2019-2019,1,1,0,2,2,2.0,9,22.22,0,0,0,NZ
Irfan Sajid ,2014-2014,1,1,0,2,2,2.0,5,40.0,0,0,0,WI
Junaid Zia ,2003-2003,4,2,1,2,2,2.0,7,28.57,0,0,1,WI
K Kamyuka ,2013-2013,2,1,0,2,2,2.0,2,100.0,0,0,0,SA
RJ Kirtley ,2001-2004,11,2,0,2,1,1.0,11,18.18,0,0,0,BDESH
Masood Iqbal ,1984-1984,1,1,0,2,2,2.0,2,100.0,0,0,0,SL
SC Meaker ,2011-2011,2,2,0,2,1,1.0,16,12.5,0,0,0,CAN
DWO Morgan ,2006-2006,2,2,0,2,1,1.0,11,18.18,0,0,0,SL
Nadeem Khan ,1993-1995,2,1,0,2,2,2.0,3,66.66,0,0,0,NL
DR O'Sullivan ,1974-1976,3,2,1,2,1,2.0,5,40.0,0,0,0,PAK
R Pathan ,2013-2013,1,1,0,2,2,2.0,9,22.22,0,0,0,SA
ACL Richards ,2007-2007,1,1,0,2,2,2.0,2,100.0,0,0,0,WI
JNK Shannon ,2013-2013,1,1,0,2,2,2.0,8,25.0,0,0,0,NAM
GJ Thompson ,2008-2008,3,2,0,2,2,1.0,21,9.52,0,0,1,SA
PIC Thompson ,1997-1997,2,1,0,2,2,2.0,7,28.57,0,0,0,BDESH
