Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Nation
Mashrafe Mortaza ,2001-2019,217,217,10789,8759,266,6/26,32.92,4.87,40.5,7,1,BDESH
M Ntini ,1998-2009,173,171,8687,6559,266,6/22,24.65,4.53,32.6,8,4,SA
Shakib Al Hasan ,2006-2019,206,203,10517,7857,260,5/29,30.21,4.48,40.4,8,2,BDESH
N Kapil Dev ,1978-1994,225,221,11202,6945,253,5/43,27.45,3.71,44.2,3,1,INDIA
Shoaib Akhtar ,1998-2011,163,162,7764,6169,247,6/16,24.97,4.76,31.4,6,4,PAK
KD Mills ,2001-2015,170,169,8230,6485,240,5/25,27.02,4.72,34.2,8,1,NZ
MG Johnson ,2005-2015,153,150,7489,6038,239,6/31,25.26,4.83,31.3,9,3,AUS
HH Streak ,1993-2005,189,185,9468,7129,239,5/32,29.82,4.51,39.6,7,1,AfrZIM
D Gough ,1994-2006,159,156,8470,6209,235,5/44,26.42,4.39,36.0,10,2,ENG
CA Walsh ,1985-2000,205,204,10822,6918,227,5/1,30.47,3.83,47.6,6,1,WI
CEL Ambrose ,1988-2000,176,175,9353,5429,225,5/17,24.12,3.48,41.5,6,4,WI
Abdur Razzak ,2004-2014,153,152,7965,6065,207,5/29,29.29,4.56,38.4,5,4,BDESH
CZ Harris ,1990-2004,250,232,10667,7613,203,5/42,37.5,4.28,52.5,2,1,NZ
CJ McDermott ,1985-1996,138,138,7461,5018,203,5/44,24.71,4.03,36.7,4,1,AUS
CL Cairns ,1991-2006,215,186,8168,6594,201,5/42,32.8,4.84,40.6,3,1,NZ
DJ Bravo ,2004-2014,164,150,6511,5874,199,6/43,29.51,5.41,32.7,6,1,WI
KMDN Kulasekara ,2003-2017,184,181,8263,6751,199,5/22,33.92,4.9,41.5,4,1,SL
BKV Prasad ,1994-2001,161,160,8129,6332,196,5/27,32.3,4.67,41.4,3,1,INDIA
DW Steyn ,2005-2019,125,124,6256,5087,196,6/39,25.95,4.87,31.9,4,3,AfrSA
SR Waugh ,1986-2002,325,207,8883,6761,195,4/33,34.67,4.56,45.5,3,0,AUS
CL Hooper ,1987-2003,227,203,9573,6958,193,4/34,36.05,4.36,49.6,3,0,WI
L Klusener ,1996-2004,171,164,7336,5751,192,6/49,29.95,4.7,38.2,1,6,SA
M Morkel ,2007-2018,117,114,5760,4761,188,5/21,25.32,4.95,30.6,7,2,AfrSA
CRD Fernando ,2001-2012,147,141,6507,5648,187,6/27,30.2,5.2,34.7,3,1,SL
TG Southee ,2008-2019,140,138,7021,6373,186,7/33,34.26,5.44,37.7,4,3,NZ
Saeed Ajmal ,2008-2015,113,112,6000,4182,184,5/24,22.72,4.18,32.6,6,2,PAK
Aaqib Javed ,1988-1998,163,159,8012,5721,182,7/37,31.43,4.28,44.0,2,4,PAK
Imran Khan ,1974-1992,175,153,7461,4844,182,6/14,26.61,3.89,40.9,3,1,PAK
RA Jadeja ,2009-2019,159,155,8029,6552,181,5/36,36.19,4.89,44.3,7,1,INDIA
Umar Gul ,2003-2016,130,128,6064,5253,179,6/42,29.34,5.19,33.8,4,2,PAK
SCJ Broad ,2006-2016,121,121,6109,5364,178,5/23,30.13,5.26,34.3,9,1,ENG
NW Bracken ,2001-2009,116,116,5759,4240,174,5/47,24.36,4.41,33.0,5,2,AUS
Imran Tahir ,2011-2019,107,104,5541,4297,173,7/45,24.83,4.65,32.0,7,3,SA
JDP Oram ,2001-2012,160,154,6911,5047,173,5/26,29.17,4.38,39.9,3,2,NZ
IK Pathan ,2004-2012,120,118,5855,5142,173,5/27,29.72,5.26,33.8,5,2,INDIA
MA Starc ,2010-2019,85,85,4315,3611,172,6/28,20.99,5.02,25.0,11,7,AUS
NLTC Perera ,2009-2019,161,152,5711,5556,171,6/44,32.49,5.83,33.3,5,4,SL
A Flintoff ,1999-2009,141,119,5624,4121,169,5/19,24.38,4.39,33.2,6,2,ENG
SR Watson ,2002-2015,190,163,6466,5342,168,4/36,31.79,4.95,38.4,3,0,AUS
CH Gayle ,1999-2019,301,199,7424,5926,167,5/46,35.48,4.78,44.4,3,1,WI
TA Boult ,2012-2019,89,89,4884,4111,164,7/34,25.06,5.05,29.7,7,5,NZ
Mushtaq Ahmed ,1989-2003,144,142,7543,5361,161,5/36,33.29,4.26,46.8,3,1,PAK
Sir RJ Hadlee ,1973-1990,115,112,6182,3407,158,5/25,21.56,3.3,39.1,1,5,NZ
Shoaib Malik ,1999-2019,287,217,7958,6192,158,4/19,39.18,4.66,50.3,1,0,PAK
MD Marshall ,1980-1992,136,134,7175,4233,157,4/18,26.96,3.53,45.7,6,0,WI
A Nehra ,2001-2011,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2,INDIA
M Prabhakar ,1984-1996,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2,INDIA
GB Hogg ,1996-2008,123,113,5564,4188,156,5/32,26.84,4.51,35.6,3,2,AUS
SR Tendulkar ,1989-2012,463,270,8054,6850,154,5/32,44.48,5.1,52.2,4,2,INDIA
BAW Mendis ,2008-2015,87,84,4154,3324,152,6/13,21.86,4.8,27.3,7,3,SL
UDU Chandana ,1994-2007,147,136,6142,4818,151,5/61,31.9,4.7,40.6,4,1,SL
R Ashwin ,2010-2017,111,109,6021,4937,150,4/25,32.91,4.91,40.1,1,0,INDIA
SE Bond ,2002-2010,82,80,4295,3070,147,6/19,20.88,4.28,29.2,7,4,NZ
J Garner ,1977-1987,98,98,5330,2752,146,5/31,18.84,3.09,36.5,2,3,WI
IT Botham ,1976-1992,116,115,6271,4139,145,4/31,28.54,3.96,43.2,3,0,ENG
TM Odoyo ,1996-2014,136,129,5649,4335,145,4/25,29.89,4.6,38.9,5,0,AfrKENYA
AU Rashid ,2009-2019,99,93,4851,4547,143,5/27,31.79,5.62,33.9,7,2,ENG
JN Gillespie ,1996-2005,97,96,5144,3611,142,5/22,25.42,4.21,36.2,3,3,AUS
MA Holding ,1976-1987,102,102,5473,3034,142,5/26,21.36,3.32,38.5,5,1,WI
CR Woakes ,2011-2019,99,95,4638,4327,142,6/45,30.47,5.59,32.6,9,3,ENG
EJ Chatfield ,1979-1989,114,112,6065,3618,140,5/34,25.84,3.57,43.3,3,1,NZ
Mohammad Hafeez ,2003-2019,218,177,7733,5400,139,4/41,38.84,4.18,55.6,1,0,PAK
HDPK Dharmasena ,1994-2004,141,134,7009,4998,138,4/37,36.21,4.27,50.7,1,0,SL
SB Styris ,1999-2011,188,161,6114,4839,137,6/25,35.32,4.74,44.6,4,1,NZ
Mohammed Shami ,2013-2019,73,72,3709,3400,136,5/69,25.0,5.5,27.2,8,1,INDIA
MF Maharoof ,2004-2016,109,105,4640,3789,135,6/14,28.06,4.89,34.3,4,2,SL
LE Plunkett ,2005-2019,89,87,4137,4010,135,5/52,29.7,5.81,30.6,6,1,ENG
DW Fleming ,1994-2001,88,88,4619,3402,134,5/36,25.38,4.41,34.4,4,1,AUS
JO Holder ,2013-2019,112,108,5179,4777,133,5/27,35.91,5.53,38.9,4,2,WI
Rashid Khan ,2015-2019,71,67,3558,2467,133,7/18,18.54,4.16,26.7,4,4,AFG
A Symonds ,1998-2009,198,158,5935,4955,133,5/18,37.25,5.0,44.6,2,1,AUS
P Utseya ,2004-2015,164,160,8571,6239,133,5/36,46.9,4.36,64.4,2,1,ZIM
Abdul Qadir ,1983-1993,104,100,5100,3454,132,5/44,26.16,4.06,38.6,4,2,PAK
B Kumar ,2012-2019,114,113,5451,4568,132,5/42,34.6,5.02,41.2,4,1,INDIA
M Dillon ,1997-2005,108,107,5480,4218,130,5/29,32.44,4.61,42.1,3,3,WI
Mohammad Nabi ,2009-2019,124,120,5919,4231,130,4/30,32.54,4.28,45.5,3,0,AFG
RJ Shastri ,1981-1992,150,136,6613,4650,129,5/15,36.04,4.21,51.2,2,1,INDIA
JE Taylor ,2003-2017,90,88,4341,3780,128,5/48,29.53,5.22,33.9,3,1,WI
DK Morrison ,1987-1996,96,95,4586,3470,126,5/34,27.53,4.53,36.3,1,2,NZ
Rubel Hossain ,2009-2019,101,99,4540,4300,126,6/26,34.12,5.68,36.0,7,1,BDESH
Mohammad Rafique ,1995-2007,125,124,6414,4739,125,5/47,37.91,4.43,51.3,3,1,BDESH
KAJ Roach ,2008-2019,92,90,4459,3763,124,6/27,30.34,5.06,35.9,3,3,WI
Azhar Mahmood ,1996-2007,143,139,6242,4813,123,6/18,39.13,4.62,50.7,2,3,PAK
Mohammad Sami ,2001-2015,87,85,4284,3567,121,5/10,29.47,4.99,35.4,3,1,PAK
AG Cremer ,2009-2018,96,95,4680,3597,119,6/46,30.22,4.61,39.3,4,3,ZIM
IR Bishop ,1988-1997,84,83,4332,3127,118,5/25,26.5,4.33,36.7,7,2,WI
IVA Richards ,1975-1991,187,131,5644,4228,118,6/41,35.83,4.49,47.8,1,2,WI
K Rabada ,2015-2019,75,73,3842,3199,117,6/16,27.34,4.99,32.8,6,1,SA
R Rampaul ,2003-2015,92,88,4033,3434,117,5/49,29.35,5.1,34.4,8,2,WI
Dawlat Zadran ,2011-2019,82,80,3769,3423,115,4/22,29.76,5.44,32.7,3,0,AFG
PAJ DeFreitas ,1987-1997,103,103,5712,3775,115,4/35,32.82,3.96,49.6,1,0,ENG
AD Mathews ,2008-2019,214,155,5083,3907,115,6/20,33.97,4.61,44.2,1,1,SL
I Sharma ,2007-2016,80,78,3733,3563,115,4/34,30.98,5.72,32.4,6,0,INDIA
Wahab Riaz ,2008-2019,89,88,4209,4011,115,5/46,34.87,5.71,36.6,4,1,PAK
WJ Cronje ,1992-2000,188,153,5357,3966,114,5/32,34.78,4.44,46.9,1,1,SA
MC Snedden ,1980-1990,93,90,4525,3237,114,4/34,28.39,4.29,39.6,1,0,NZ
GR Larsen ,1990-1999,121,119,6368,4000,113,4/24,35.39,3.76,56.3,1,0,NZ
KJ O'Brien ,2006-2019,142,113,4224,3672,113,4/13,32.49,5.21,37.3,5,0,IRE
PD Collingwood ,2001-2011,197,151,5186,4294,111,6/31,38.68,4.96,46.7,3,1,ENG
Mudassar Nazar ,1977-1989,122,104,4855,3432,111,5/28,30.91,4.24,43.7,1,1,PAK
Yuvraj Singh ,2000-2017,304,161,5048,4294,111,5/31,38.68,5.1,45.4,2,1,INDIA
Junaid Khan ,2011-2019,76,76,3601,3216,110,4/12,29.23,5.35,32.7,4,0,PAK
Naved-ul-Hasan ,2003-2010,74,72,3466,3221,110,6/27,29.28,5.57,31.5,6,1,PAK
DR Tuffey ,2000-2010,94,92,4333,3534,110,4/24,32.12,4.89,39.3,2,0,NZ
TT Bresnan ,2006-2015,85,84,4221,3813,109,5/48,34.98,5.42,38.7,3,1,ENG
GP Wickramasinghe ,1990-2002,134,132,5720,4321,109,4/48,39.64,4.53,52.4,1,0,SL
SP O'Donnell ,1985-1991,87,87,4350,3102,108,5/13,28.72,4.27,40.2,5,1,AUS
DNT Zoysa ,1997-2007,95,93,4259,3213,108,5/26,29.75,4.52,39.4,2,1,SL
RAS Lakmal ,2009-2019,85,83,3824,3478,107,4/13,32.5,5.45,35.7,3,0,SL
Mustafizur Rahman ,2015-2019,56,55,2813,2458,107,6/43,22.97,5.24,26.2,3,5,BDESH
PA de Silva ,1984-2003,308,156,5148,4177,106,4/30,39.4,4.86,48.5,2,0,SL
TM Dilshan ,1999-2016,330,204,5880,4778,106,4/4,45.07,4.87,55.4,3,0,SL
A Nel ,2001-2008,79,76,3801,2935,106,5/45,27.68,4.63,35.8,3,1,SA
PR Reiffel ,1992-1999,92,92,4732,3096,106,4/13,29.2,3.92,44.6,5,0,AUS
UT Yadav ,2010-2018,75,73,3558,3565,106,4/31,33.63,6.01,33.5,4,0,INDIA
GW Flower ,1992-2010,221,156,5462,4225,104,4/32,40.62,4.64,52.5,2,0,ZIM
WB Rankin ,2007-2019,73,71,3600,2893,104,4/15,27.81,4.82,34.6,4,0,ENGIRE
GP Swann ,2000-2013,79,76,3809,2888,104,5/28,27.76,4.54,36.6,3,1,ENG
JJ Bumrah ,2016-2019,58,58,3009,2254,103,5/27,21.88,4.49,29.2,5,1,INDIA
DK Lillee ,1972-1983,63,63,3593,2145,103,5/34,20.82,3.58,34.8,5,1,AUS
C Pringle ,1990-1995,64,64,3314,2459,103,5/45,23.87,4.45,32.1,2,1,NZ
ST Finn ,2011-2017,69,67,3550,2996,102,5/33,29.37,5.06,34.8,4,2,ENG
E Chigumbura ,2004-2018,213,132,4339,4274,101,4/28,42.31,5.91,42.9,1,0,AfrZIM
WKM Benjamin ,1986-1995,85,85,4442,3079,100,5/22,30.79,4.15,44.4,0,1,WI
SC Ganguly ,1992-2007,311,171,4561,3849,100,5/16,38.49,5.06,45.6,1,2,INDIA
RA Harper ,1983-1996,105,99,5175,3431,100,4/40,34.31,3.97,51.7,3,0,WI
CK Langeveldt ,2001-2010,72,71,3489,2962,100,5/39,29.62,5.09,34.8,1,2,SA
RW Price ,2002-2012,102,99,5374,3575,100,4/22,35.75,3.99,53.7,1,0,ZIM
NJ Astle ,1995-2007,223,159,4850,3809,99,4/43,38.47,4.71,48.9,1,0,NZ
Kuldeep Yadav ,2017-2019,56,54,2952,2455,99,6/25,24.79,4.98,29.8,4,1,INDIA
CJ McKay ,2009-2014,59,59,2965,2364,97,5/28,24.37,4.78,30.5,4,2,AUS
PL Taylor ,1987-1992,83,80,3937,2740,97,4/38,28.24,4.17,40.5,1,0,AUS
N Boje ,1995-2005,115,108,4541,3415,96,5/21,35.57,4.51,47.3,2,1,AfrSA
PJ Cummins ,2011-2019,58,58,3033,2603,96,5/70,27.11,5.14,31.5,5,1,AUS
JP Faulkner ,2013-2017,69,67,3211,2962,96,4/32,30.85,5.53,33.4,4,0,AUS
V Sehwag ,1999-2013,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0,INDIA
PA Strang ,1994-2001,95,89,4351,3173,96,5/21,33.05,4.37,45.3,2,2,ZIM
TL Chatara ,2013-2019,70,70,3431,2905,95,4/33,30.57,5.08,36.1,1,0,ZIM
PS de Villiers ,1992-1997,83,82,4422,2636,95,4/27,27.74,3.57,46.5,2,0,SA
AJ Hall ,1999-2007,88,78,3341,2515,95,5/18,26.47,4.51,35.1,3,1,SA
WD Parnell ,2009-2017,65,61,2911,2738,94,5/48,29.12,5.64,30.9,3,2,SA
SO Tikolo ,1996-2014,135,99,4016,3215,94,4/41,34.2,4.8,42.7,2,0,AfrKENYA
LL Tsotsobe ,2009-2013,61,60,2964,2347,94,4/22,24.96,4.75,31.5,7,0,SA
MJ Henry ,2014-2019,52,50,2703,2437,92,5/30,26.48,5.4,29.3,7,2,NZ
SP Narine ,2011-2016,65,65,3540,2435,92,6/27,26.46,4.12,38.4,4,2,WI
AC Cummins ,1991-2007,76,74,3767,2877,91,5/31,31.61,4.58,41.3,2,1,CANWI
CB Mpofu ,2004-2019,83,82,3900,3513,91,6/52,38.6,5.4,42.8,2,1,ZIM
BP Patterson ,1986-1993,59,58,3050,2206,90,6/29,24.51,4.33,33.8,1,1,WI
BL Cairns ,1974-1985,78,75,4015,2717,89,5/28,30.52,4.06,45.1,2,1,NZ
GH Dockrell ,2010-2019,87,85,4232,3327,89,4/24,37.38,4.71,47.5,4,0,IRE
Saleem Malik ,1982-1999,283,120,3505,2959,89,5/35,33.24,5.06,39.3,1,1,PAK
MN Samuels ,2000-2018,207,134,5091,4127,89,3/12,46.37,4.86,57.2,0,0,WI
TM Alderman ,1981-1991,65,65,3371,2056,88,5/17,23.36,3.65,38.3,1,2,AUS
GF Lawson ,1980-1989,79,79,4259,2592,88,4/26,29.45,3.65,48.3,1,0,AUS
GJ Whittall ,1993-2003,147,112,4060,3481,88,4/35,39.55,5.14,46.1,1,0,ZIM
AME Roberts ,1975-1983,56,56,3123,1771,87,5/22,20.35,3.4,35.8,2,1,WI
MM Patel ,2006-2011,70,67,3154,2603,86,4/29,30.26,4.95,36.6,3,0,INDIA
Aamer Sohail ,1990-2000,156,125,4836,3703,85,4/22,43.56,4.59,56.8,1,0,PAK
YS Chahal ,2016-2019,50,49,2659,2246,85,6/42,26.42,5.06,31.2,2,2,INDIA
IJ Harvey ,1997-2004,73,70,3279,2577,85,4/16,30.31,4.71,38.5,4,0,AUS
RM Hogg ,1979-1985,71,67,3677,2418,85,4/29,28.44,3.94,43.2,5,0,AUS
JR Ratnayeke ,1982-1990,78,76,3573,2866,85,4/23,33.71,4.81,42.0,1,0,SL
ME Waugh ,1988-2002,244,120,3687,2938,85,5/24,34.56,4.78,43.3,1,1,AUS
MM Ali ,2014-2019,101,95,4654,4089,84,4/46,48.67,5.27,55.4,1,0,ENG
CD Collymore ,1999-2007,84,80,4074,2924,83,5/51,35.22,4.3,49.0,1,1,WI
Mohammad Irfan ,2010-2016,60,60,3109,2549,83,4/30,30.71,4.91,37.4,2,0,PAK
PV Simmons ,1987-1999,143,103,3880,2876,83,4/3,34.65,4.44,46.7,2,0,WI
Hasan Ali ,2016-2019,53,51,2548,2381,82,5/34,29.03,5.6,31.0,1,3,PAK
MJ McClenaghan ,2013-2016,48,45,2336,2313,82,5/58,28.2,5.94,28.4,6,1,NZ
CG Rackemann ,1983-1991,52,52,2791,1833,82,5/16,22.35,3.94,34.0,3,1,AUS
JEC Franklin ,2001-2013,110,97,3848,3354,81,5/42,41.4,5.22,47.5,0,1,NZ
Mohammad Amir ,2009-2019,61,60,3013,2400,81,5/30,29.62,4.77,37.1,1,1,PAK
DJG Sammy ,2004-2015,126,119,4956,3851,81,4/26,47.54,4.66,61.1,1,0,WI
RGD Willis ,1973-1984,64,64,3595,1968,80,4/11,24.6,3.28,44.9,4,0,ENG
CR Matthews ,1991-1997,56,55,3003,1975,79,4/10,25.0,3.94,38.0,3,0,SA
A Ranatunga ,1982-1999,269,135,4710,3757,79,4/14,47.55,4.78,59.6,1,0,SL
AJ Bichel ,1997-2004,67,66,3257,2463,78,7/20,31.57,4.53,41.7,1,2,AUS
IDR Bradshaw ,2004-2007,62,62,3172,2299,78,3/15,29.47,4.34,40.6,0,0,WI
PJ Ongondo ,1999-2011,79,79,3102,2350,78,5/51,30.12,4.54,39.7,1,1,AfrKENYA
RMH Binny ,1980-1987,72,67,2957,2260,77,4/29,29.35,4.58,38.4,3,0,INDIA
Iftikhar Anjum ,2004-2010,62,60,2960,2430,77,5/30,31.55,4.92,38.4,2,1,PAK
P Kumar ,2007-2012,68,67,3242,2774,77,4/31,36.02,5.13,42.1,3,0,INDIA
R McLaren ,2009-2014,54,51,2403,2102,77,4/19,27.29,5.24,31.2,5,0,SA
JE Emburey ,1980-1993,61,61,3425,2346,76,4/37,30.86,4.1,45.0,2,0,ENG
SJ Harmison ,2002-2009,58,57,2899,2481,76,5/33,32.64,5.13,38.1,2,1,ENG
RD King ,1998-2005,50,50,2603,1807,76,4/25,23.77,4.16,34.2,2,0,WI
Mahmudullah ,2007-2019,185,134,4090,3527,76,3/4,46.4,5.17,53.8,0,0,BDESH
RJ Ratnayake ,1982-1993,70,70,3575,2712,76,5/32,35.68,4.55,47.0,1,1,SL
GB Brent ,1996-2008,70,69,3390,2776,75,4/22,37.01,4.91,45.2,3,0,ZIM
RJ Peterson ,2002-2014,79,74,3278,2680,75,4/12,35.73,4.9,43.7,3,0,SA
S Sreesanth ,2005-2011,53,52,2476,2508,75,6/55,33.44,6.07,33.0,2,1,INDIA
HMRKB Herath ,2004-2015,71,67,3242,2362,74,4/20,31.91,4.37,43.8,1,0,SL
TJ Murtagh ,2012-2019,58,57,3020,2290,74,5/21,30.94,4.54,40.8,4,1,IRE
W Watson ,1986-1994,61,61,3251,2247,74,4/27,30.36,4.14,43.9,1,0,NZ
AR Border ,1979-1994,273,87,2661,2071,73,3/20,28.36,4.66,36.4,0,0,AUS
RS Kalpage ,1992-1999,86,81,3960,2975,73,4/36,40.75,4.5,54.2,2,0,SL
S Madan Lal ,1974-1987,67,64,3164,2137,73,4/20,29.27,4.05,43.3,2,0,INDIA
J Botha ,2005-2012,78,75,3823,2916,72,4/19,40.5,4.57,53.0,1,0,AfrSA
GS Chappell ,1971-1983,74,67,3108,2097,72,5/15,29.12,4.04,43.1,0,2,AUS
JR Hazlewood ,2010-2018,44,43,2294,1811,72,6/52,25.15,4.73,31.8,1,3,AUS
PL Symcox ,1993-1999,80,80,3991,2762,72,4/28,38.36,4.15,55.4,1,0,SA
DBL Powell ,2002-2009,55,55,2850,2239,71,4/27,31.53,4.71,40.1,2,0,WI
Sohail Tanvir ,2007-2014,62,60,2949,2566,71,5/48,36.14,5.22,41.5,3,1,PAK
SC Williams ,2005-2019,131,107,4080,3300,71,4/43,46.47,4.85,57.4,1,0,ZIM
EA Brandes ,1987-1999,59,59,2828,2266,70,5/28,32.37,4.8,40.4,1,2,ZIM
BM McMillan ,1991-1998,78,75,3623,2589,70,4/32,36.98,4.28,51.7,1,0,SA
NN Odhiambo ,2006-2014,69,67,2808,2585,70,4/61,36.92,5.52,40.1,1,0,KENYA
AD Russell ,2011-2019,56,55,2290,2229,70,4/35,31.84,5.84,32.7,5,0,WI
BA Stokes ,2011-2019,95,80,2912,2920,70,5/61,41.71,6.01,41.6,1,1,ENG
AR Caddick ,1993-2003,54,53,2937,1965,69,4/19,28.47,4.01,42.5,3,0,ENG
JP Duminy ,2004-2019,199,135,3513,3143,69,4/16,45.55,5.36,50.9,1,0,SA
SB Joshi ,1996-2001,69,67,3386,2509,69,5/6,36.36,4.44,49.0,1,1,INDIA
MJ Santner ,2015-2019,69,64,3079,2510,69,5/50,36.37,4.89,44.6,0,1,NZ
Shafiul Islam ,2010-2019,59,59,2486,2453,69,4/21,35.55,5.92,36.0,4,0,BDESH
RP Singh ,2005-2011,58,57,2565,2343,69,4/35,33.95,5.48,37.1,2,0,INDIA
RR Singh ,1989-2001,136,117,3734,2985,69,5/22,43.26,4.79,54.1,0,2,INDIA
CPH Ramanayake ,1986-1995,62,62,2864,2049,68,4/17,30.13,4.29,42.1,1,0,SL
HA Varaiya ,2006-2014,63,60,2951,2048,68,4/25,30.11,4.16,43.3,2,0,KENYA
MA Ealham ,1996-2001,64,62,3227,2197,67,5/15,32.79,4.08,48.1,1,2,ENG
LH Ferguson ,2016-2019,36,36,1902,1719,67,5/45,25.65,5.42,28.3,2,1,NZ
JR Hopes ,2005-2010,84,75,3157,2384,67,5/14,35.58,4.53,47.1,0,1,AUS
MS Kasprowicz ,1995-2005,43,42,2225,1674,67,5/45,24.98,4.51,33.2,1,2,AUS
Khaled Mahmud ,1998-2006,77,75,3385,2865,67,4/19,42.76,5.07,50.5,1,0,BDESH
C Sharma ,1983-1994,65,63,2835,2336,67,3/22,34.86,4.94,42.3,0,0,INDIA
DT Johnston ,2006-2013,67,63,2930,2115,66,5/14,32.04,4.33,44.3,1,1,IRE
CC Lewis ,1990-1998,53,49,2625,1942,66,4/30,29.42,4.43,39.7,4,0,ENG
Maninder Singh ,1983-1993,59,57,3133,2066,66,4/22,31.3,3.95,47.4,1,0,INDIA
T Panyangara ,2004-2016,65,65,3242,3024,65,3/28,46.52,5.59,49.8,0,0,ZIM
AL Phehlukwayo ,2016-2019,52,50,2077,1936,65,4/22,29.78,5.59,31.9,3,0,SA
C White ,1994-2003,51,50,2364,1726,65,5/21,26.55,4.38,36.3,1,1,ENG
A Zampa ,2016-2019,48,48,2480,2363,65,4/43,36.35,5.71,38.1,1,0,AUS
A Mishra ,2003-2016,36,34,1917,1511,64,6/48,23.6,4.72,29.9,2,2,INDIA
DJ Nash ,1992-2002,81,78,3416,2622,64,4/38,40.96,4.6,53.3,1,0,NZ
SM Sharif ,2011-2019,44,44,2129,1776,64,5/33,27.75,5.0,33.2,2,1,SCOT
AR Cusack ,2007-2015,59,52,1953,1510,63,5/20,23.96,4.63,31.0,1,1,IRE
NM Hauritz ,2002-2011,58,56,2724,2152,63,4/29,34.15,4.74,43.2,2,0,AUS
NL McCullum ,2009-2015,84,81,3536,2956,63,3/24,46.92,5.01,56.1,0,0,NZ
Mujeeb Ur Rahman ,2017-2019,40,39,2153,1414,63,5/50,22.44,3.94,34.1,2,1,AFG
AD Mullally ,1996-2001,50,49,2699,1728,63,4/18,27.42,3.84,42.8,2,0,ENG
SLV Raju ,1990-1996,53,52,2770,2014,63,4/46,31.96,4.36,43.9,2,0,INDIA
BA Reid ,1986-1992,61,61,3250,2203,63,5/53,34.96,4.06,51.5,0,1,AUS
Sarfraz Nawaz ,1973-1984,45,45,2412,1463,63,4/27,23.22,3.63,38.2,4,0,PAK
DE Bollinger ,2009-2011,39,39,1942,1482,62,5/35,23.9,4.57,31.3,3,2,AUS
SW Tait ,2007-2011,35,34,1688,1461,62,4/39,23.56,5.19,27.2,2,0,AUS
DT Hondo ,2001-2005,56,56,2381,2171,61,4/37,35.59,5.47,39.0,3,0,ZIM
DR Smith ,2004-2015,105,73,2726,2285,61,5/45,37.45,5.02,44.6,3,1,WI
Syed Rasel ,2005-2010,52,52,2657,2051,61,4/22,33.62,4.63,43.5,1,0,BDESH
MA Wood ,2015-2019,51,50,2585,2385,61,4/33,39.09,5.53,42.3,2,0,ENG
CJ Anderson ,2013-2017,49,43,1485,1502,60,5/63,25.03,6.06,24.7,2,1,NZ
FH Edwards ,2003-2009,50,49,2138,1812,60,6/22,30.2,5.08,35.6,0,2,WI
RM Haq ,2006-2015,54,51,2633,1975,60,5/54,32.91,4.5,43.8,2,1,SCOT
